"Land","Geschlecht","count","Jahr"
"MNE","Men",0,1984
"MON","Men",0,1984
"MOZ","Men",6,1984
"MRI","Men",3,1984
"MTN","Men",0,1984
"MYA","Men",0,1984
"NAM","Men",0,1984
"NCA","Men",0,1984
"NED","Men",6,1984
"NEP","Men",5,1984
"NGR","Men",15,1984
"NIG","Men",2,1984
"NOR","Men",9,1984
"NZL","Men",9,1984
"OMA","Men",7,1984
"PAK","Men",3,1984
"PAN","Men",2,1984
"PAR","Men",5,1984
"PER","Men",1,1984
"PHI","Men",3,1984
"PLE","Men",0,1984
"PLW","Men",0,1984
"PNG","Men",2,1984
"POL","Men",0,1984
"POR","Men",9,1984
"PRK","Men",0,1984
"PRY","Men",0,1984
"PUR","Men",7,1984
"QAT","Men",6,1984
"ROU","Men",0,1984
"RSA","Men",0,1984
"RUS","Men",0,1984
"RWA","Men",2,1984
"SAM","Men",2,1984
"SCG","Men",0,1984
"SEN","Men",10,1984
"SEY","Men",4,1984
"SIN","Men",0,1984
"SKN","Men",0,1984
"SLE","Men",4,1984
"SLO","Men",0,1984
"SMR","Men",2,1984
"SOL","Men",2,1984
"SOM","Men",7,1984
"SRB","Men",0,1984
"SRI","Men",0,1984
"SSD","Men",0,1984
"STP","Men",0,1984
"SUD","Men",3,1984
"SUI","Men",13,1984
"SUR","Men",2,1984
"SVK","Men",0,1984
"SWE","Men",18,1984
"SWZ","Men",3,1984
"SYR","Men",0,1984
"TAN","Men",10,1984
"TCH","Men",0,1984
"TGA","Men",0,1984
"THA","Men",4,1984
"TJK","Men",0,1984
"TKM","Men",0,1984
"TLS","Men",0,1984
"TOG","Men",3,1984
"TPE","Men",6,1984
"TTO","Men",6,1984
