"1","2","3","4","Game"
"7","2","Holder da Silva","Guinea-Bissau","https://en.wikipedia.org/wiki/Athletics_at_the_2012_Summer_Olympics./wiki/Athletics_at_the_2012_Summer_Olympics_%E2%80%93_Men%27s_100_metres.68"
"8","9","Idrissa Adam","Cameroon","https://en.wikipedia.org/wiki/Athletics_at_the_2012_Summer_Olympics./wiki/Athletics_at_the_2012_Summer_Olympics_%E2%80%93_Men%27s_100_metres.69"
NA,NA,"","","https://en.wikipedia.org/wiki/Athletics_at_the_2012_Summer_Olympics./wiki/Athletics_at_the_2012_Summer_Olympics_%E2%80%93_Men%27s_100_metres.70"
"1","7","Asafa Powell","Jamaica","https://en.wikipedia.org/wiki/Athletics_at_the_2012_Summer_Olympics./wiki/Athletics_at_the_2012_Summer_Olympics_%E2%80%93_Men%27s_100_metres.71"
"2","4","Adam Gemili","Great Britain","https://en.wikipedia.org/wiki/Athletics_at_the_2012_Summer_Olympics./wiki/Athletics_at_the_2012_Summer_Olympics_%E2%80%93_Men%27s_100_metres.72"
"3","6","Churandy Martina","Netherlands","https://en.wikipedia.org/wiki/Athletics_at_the_2012_Summer_Olympics./wiki/Athletics_at_the_2012_Summer_Olympics_%E2%80%93_Men%27s_100_metres.73"
"4","9","Reza Ghasemi","Iran","https://en.wikipedia.org/wiki/Athletics_at_the_2012_Summer_Olympics./wiki/Athletics_at_the_2012_Summer_Olympics_%E2%80%93_Men%27s_100_metres.74"
"5","5","Obinna Metu","Nigeria","https://en.wikipedia.org/wiki/Athletics_at_the_2012_Summer_Olympics./wiki/Athletics_at_the_2012_Summer_Olympics_%E2%80%93_Men%27s_100_metres.75"
"6","8","Ramon Gittens","Barbados","https://en.wikipedia.org/wiki/Athletics_at_the_2012_Summer_Olympics./wiki/Athletics_at_the_2012_Summer_Olympics_%E2%80%93_Men%27s_100_metres.76"
"7","2","Paul Williams","Grenada","https://en.wikipedia.org/wiki/Athletics_at_the_2012_Summer_Olympics./wiki/Athletics_at_the_2012_Summer_Olympics_%E2%80%93_Men%27s_100_metres.77"
"8","3","Devilert Arsene Kimbembe","Congo","https://en.wikipedia.org/wiki/Athletics_at_the_2012_Summer_Olympics./wiki/Athletics_at_the_2012_Summer_Olympics_%E2%80%93_Men%27s_100_metres.78"
NA,NA,"","","https://en.wikipedia.org/wiki/Athletics_at_the_2012_Summer_Olympics./wiki/Athletics_at_the_2012_Summer_Olympics_%E2%80%93_Men%27s_100_metres.79"
"1","5","Yohan Blake","Jamaica","https://en.wikipedia.org/wiki/Athletics_at_the_2012_Summer_Olympics./wiki/Athletics_at_the_2012_Summer_Olympics_%E2%80%93_Men%27s_100_metres.80"
"2","7","Ryota Yamagata","Japan","https://en.wikipedia.org/wiki/Athletics_at_the_2012_Summer_Olympics./wiki/Athletics_at_the_2012_Summer_Olympics_%E2%80%93_Men%27s_100_metres.81"
"3","3","Su Bingtian","China","https://en.wikipedia.org/wiki/Athletics_at_the_2012_Summer_Olympics./wiki/Athletics_at_the_2012_Summer_Olympics_%E2%80%93_Men%27s_100_metres.82"
"4","6","Antoine Adams","Saint Kitts and Nevis","https://en.wikipedia.org/wiki/Athletics_at_the_2012_Summer_Olympics./wiki/Athletics_at_the_2012_Summer_Olympics_%E2%80%93_Men%27s_100_metres.83"
"5","9","Peter Emelieze","Nigeria","https://en.wikipedia.org/wiki/Athletics_at_the_2012_Summer_Olympics./wiki/Athletics_at_the_2012_Summer_Olympics_%E2%80%93_Men%27s_100_metres.84"
"6","8","Jeremy Bascom","Guyana","https://en.wikipedia.org/wiki/Athletics_at_the_2012_Summer_Olympics./wiki/Athletics_at_the_2012_Summer_Olympics_%E2%80%93_Men%27s_100_metres.85"
"7","4","Marek Niit","Estonia","https://en.wikipedia.org/wiki/Athletics_at_the_2012_Summer_Olympics./wiki/Athletics_at_the_2012_Summer_Olympics_%E2%80%93_Men%27s_100_metres.86"
"8","2","Azneem Ahmed","Maldives","https://en.wikipedia.org/wiki/Athletics_at_the_2012_Summer_Olympics./wiki/Athletics_at_the_2012_Summer_Olympics_%E2%80%93_Men%27s_100_metres.87"
NA,NA,"","","https://en.wikipedia.org/wiki/Athletics_at_the_2012_Summer_Olympics./wiki/Athletics_at_the_2012_Summer_Olympics_%E2%80%93_Men%27s_100_metres.88"
"1","9","Dwain Chambers","Great Britain","https://en.wikipedia.org/wiki/Athletics_at_the_2012_Summer_Olympics./wiki/Athletics_at_the_2012_Summer_Olympics_%E2%80%93_Men%27s_100_metres.89"
"2","6","Jimmy Vicaut","France","https://en.wikipedia.org/wiki/Athletics_at_the_2012_Summer_Olympics./wiki/Athletics_at_the_2012_Summer_Olympics_%E2%80%93_Men%27s_100_metres.90"
"3","5","Keston Bledman","Trinidad and Tobago","https://en.wikipedia.org/wiki/Athletics_at_the_2012_Summer_Olympics./wiki/Athletics_at_the_2012_Summer_Olympics_%E2%80%93_Men%27s_100_metres.91"
"4","7","Warren Fraser","Bahamas","https://en.wikipedia.org/wiki/Athletics_at_the_2012_Summer_Olympics./wiki/Athletics_at_the_2012_Summer_Olympics_%E2%80%93_Men%27s_100_metres.92"
"5","8","Miguel López","Puerto Rico","https://en.wikipedia.org/wiki/Athletics_at_the_2012_Summer_Olympics./wiki/Athletics_at_the_2012_Summer_Olympics_%E2%80%93_Men%27s_100_metres.93"
"6","2","Gérard Kobéané","Burkina Faso","https://en.wikipedia.org/wiki/Athletics_at_the_2012_Summer_Olympics./wiki/Athletics_at_the_2012_Summer_Olympics_%E2%80%93_Men%27s_100_metres.94"
"7","3","Fabrice Coiffic","Mauritius","https://en.wikipedia.org/wiki/Athletics_at_the_2012_Summer_Olympics./wiki/Athletics_at_the_2012_Summer_Olympics_%E2%80%93_Men%27s_100_metres.95"
"8","4","Kim Collins","Saint Kitts and Nevis","https://en.wikipedia.org/wiki/Athletics_at_the_2012_Summer_Olympics./wiki/Athletics_at_the_2012_Summer_Olympics_%E2%80%93_Men%27s_100_metres.96"
NA,NA,"","","https://en.wikipedia.org/wiki/Athletics_at_the_2012_Summer_Olympics./wiki/Athletics_at_the_2012_Summer_Olympics_%E2%80%93_Men%27s_100_metres.97"
"1","7","Justin Gatlin","United States","https://en.wikipedia.org/wiki/Athletics_at_the_2012_Summer_Olympics./wiki/Athletics_at_the_2012_Summer_Olympics_%E2%80%93_Men%27s_100_metres.98"
"2","2","Churandy Martina","Netherlands","https://en.wikipedia.org/wiki/Athletics_at_the_2012_Summer_Olympics./wiki/Athletics_at_the_2012_Summer_Olympics_%E2%80%93_Men%27s_100_metres.99"
"3","4","Asafa Powell","Jamaica","https://en.wikipedia.org/wiki/Athletics_at_the_2012_Summer_Olympics./wiki/Athletics_at_the_2012_Summer_Olympics_%E2%80%93_Men%27s_100_metres.100"
"4","8","Keston Bledman","Trinidad and Tobago","https://en.wikipedia.org/wiki/Athletics_at_the_2012_Summer_Olympics./wiki/Athletics_at_the_2012_Summer_Olympics_%E2%80%93_Men%27s_100_metres.101"
"5","6","Ben Youssef Meïté","Ivory Coast","https://en.wikipedia.org/wiki/Athletics_at_the_2012_Summer_Olympics./wiki/Athletics_at_the_2012_Summer_Olympics_%E2%80%93_Men%27s_100_metres.102"
"6","5","Jimmy Vicaut","France","https://en.wikipedia.org/wiki/Athletics_at_the_2012_Summer_Olympics./wiki/Athletics_at_the_2012_Summer_Olympics_%E2%80%93_Men%27s_100_metres.103"
"7","9","James Dasaolu","Great Britain","https://en.wikipedia.org/wiki/Athletics_at_the_2012_Summer_Olympics./wiki/Athletics_at_the_2012_Summer_Olympics_%E2%80%93_Men%27s_100_metres.104"
"8","3","Suwaibou Sanneh","The Gambia","https://en.wikipedia.org/wiki/Athletics_at_the_2012_Summer_Olympics./wiki/Athletics_at_the_2012_Summer_Olympics_%E2%80%93_Men%27s_100_metres.105"
